"biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
"not biddable",159.99,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10001,"no description",45,1,"99 ending"
"biddable",0.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",1,10002,"no description",100,2,"99 ending"
"not biddable",199.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10003,"contains description",0,0,"99 ending"
"not biddable",235,"new","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",0,10004,"contains description",0,0,"not a 99 ending"
"not biddable",199.99,"refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",0,10005,"no description",100,2,"99 ending"
"biddable",175,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad mini 2",1,10006,"contains description",0,0,"not a 99 ending"
"biddable",100,"new","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10007,"contains description",0,0,"not a 99 ending"
"not biddable",329.99,"new","No cellular","None","White","16/32/64 GB","iPad mini3",0,10008,"contains description",0,0,"99 ending"
"biddable",0.99,"used","Cellular","Unknown","White","16/32/64 GB","iPad 1",1,10009,"contains description",0,0,"99 ending"
"biddable",150,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10010,"contains description",0,0,"not a 99 ending"
"not biddable",199.99,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10011,"no description",92,0,"99 ending"
"not biddable",99.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad 1",0,10012,"contains description",0,0,"99 ending"
"biddable",20,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10013,"no description",96,41,"not a 99 ending"
"not biddable",75,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10014,"contains description",0,0,"not a 99 ending"
"not biddable",199.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",1,10015,"no description",98,3,"99 ending"
"not biddable",344.95,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10016,"contains description",0,0,"not a 99 ending"
"not biddable",184.5,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10017,"no description",100,4,"not a 99 ending"
"not biddable",209.98,"refurbished","No cellular","None","White","16/32/64 GB","iPad mini 2",0,10018,"no description",100,6,"not a 99 ending"
"not biddable",375,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10019,"contains description",0,0,"not a 99 ending"
"not biddable",95,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10020,"contains description",0,0,"not a 99 ending"
"not biddable",125,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10021,"no description",16,1,"not a 99 ending"
"not biddable",187.5,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10022,"no description",84,3,"not a 99 ending"
"not biddable",129.99,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,10023,"no description",27,23,"99 ending"
"not biddable",329.99,"new","Unknown","Unknown","Space Gray","Unknown","Unknown",0,10024,"contains description",0,0,"99 ending"
"not biddable",149,"used","Cellular","Sprint/T-Mobile","White","16/32/64 GB","iPad Air 1/2",0,10025,"contains description",0,0,"not a 99 ending"
"not biddable",238.8,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",0,10026,"no description",96,4,"not a 99 ending"
"not biddable",84.99,"refurbished","Cellular","AT&T","Unknown","16/32/64 GB","iPad 1",1,10027,"no description",16,15,"99 ending"
"not biddable",249.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10028,"no description",101,2,"99 ending"
"not biddable",309.99,"new","No cellular","None","White","16/32/64 GB","iPad 4",0,10029,"no description",92,20,"99 ending"
"not biddable",319.95,"refurbished","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10030,"no description",71,6,"not a 99 ending"
"not biddable",185,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10031,"no description",96,2,"not a 99 ending"
"not biddable",90,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10032,"no description",98,2,"not a 99 ending"
"not biddable",299.98,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10033,"no description",100,6,"not a 99 ending"
"biddable",49,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",1,10034,"contains description",0,0,"not a 99 ending"
"not biddable",444.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10035,"contains description",0,0,"99 ending"
"not biddable",480,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10036,"no description",77,1,"not a 99 ending"
"not biddable",225,"new","Cellular","AT&T","Unknown","16/32/64 GB","iPad 3",1,10037,"no description",20,1,"not a 99 ending"
"not biddable",79,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10038,"contains description",0,0,"not a 99 ending"
"not biddable",189.85,"refurbished","Cellular","Unknown","White","16/32/64 GB","iPad 2",0,10039,"contains description",0,0,"not a 99 ending"
"not biddable",159.99,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10040,"no description",101,3,"99 ending"
"not biddable",199.99,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10041,"contains description",0,0,"99 ending"
"not biddable",115,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10042,"no description",14,1,"not a 99 ending"
"not biddable",289.95,"new","Cellular","Unknown","Black","16/32/64 GB","iPad 1",0,10043,"contains description",0,0,"not a 99 ending"
"not biddable",499.95,"new","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10044,"no description",81,7,"not a 99 ending"
"not biddable",199.99,"refurbished","Cellular","Verizon","Black","16/32/64 GB","iPad 2",1,10045,"no description",98,3,"99 ending"
"not biddable",550,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,10046,"contains description",0,0,"not a 99 ending"
"not biddable",209.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10047,"no description",100,2,"99 ending"
"not biddable",185,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10048,"no description",96,2,"not a 99 ending"
"biddable",100,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 4",1,10049,"no description",11,0,"not a 99 ending"
"biddable",279.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad Air 1/2",1,10050,"contains description",0,0,"99 ending"
"not biddable",614.99,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",1,10051,"contains description",0,0,"99 ending"
"not biddable",259,"new","Cellular","AT&T","Unknown","16/32/64 GB","iPad 3",0,10052,"no description",81,2,"not a 99 ending"
"not biddable",240,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",0,10053,"contains description",0,0,"not a 99 ending"
"not biddable",69.99,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10054,"contains description",0,0,"99 ending"
"not biddable",398.99,"used","No cellular","None","Unknown","128 GB","iPad Air 1/2",0,10055,"no description",8,2,"99 ending"
"biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",1,10056,"contains description",0,0,"not a 99 ending"
"not biddable",84.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",0,10057,"contains description",0,0,"99 ending"
"not biddable",269.99,"new","No cellular","None","Black","16/32/64 GB","iPad 1",0,10058,"contains description",0,0,"99 ending"
"not biddable",295,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 4",0,10059,"no description",31,1,"not a 99 ending"
"not biddable",210,"used","Cellular","Sprint/T-Mobile","White","16/32/64 GB","iPad mini",0,10060,"no description",70,3,"not a 99 ending"
"biddable",160,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10061,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10062,"no description",100,2,"99 ending"
"not biddable",304.89,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10063,"no description",96,15,"not a 99 ending"
"biddable",0.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",1,10064,"no description",100,2,"99 ending"
"not biddable",195,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10065,"contains description",0,0,"not a 99 ending"
"not biddable",319,"new","Unknown","Unknown","Gold","Unknown","Unknown",0,10066,"contains description",0,0,"not a 99 ending"
"not biddable",389.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10067,"contains description",0,0,"99 ending"
"not biddable",79.99,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10068,"no description",93,4,"99 ending"
"not biddable",254.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 4",0,10069,"contains description",0,0,"99 ending"
"biddable",115,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 3",1,10070,"no description",101,2,"not a 99 ending"
"not biddable",159.95,"used","Cellular","Unknown","Black","16/32/64 GB","iPad 2",0,10071,"no description",98,3,"not a 99 ending"
"not biddable",279.99,"used","Unknown","Unknown","Unknown","Unknown","iPad Air 1/2",0,10072,"no description",86,3,"99 ending"
"biddable",99.99,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 2",1,10073,"contains description",0,0,"99 ending"
"biddable",75,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10074,"contains description",0,0,"not a 99 ending"
"biddable",135,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10075,"contains description",0,0,"not a 99 ending"
"not biddable",130,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10076,"no description",93,6,"not a 99 ending"
"not biddable",119.95,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10077,"no description",98,3,"not a 99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10078,"contains description",0,0,"not a 99 ending"
"not biddable",269.94,"new","No cellular","None","Black","16/32/64 GB","iPad 2",0,10079,"contains description",0,0,"not a 99 ending"
"not biddable",380,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10080,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10081,"contains description",0,0,"99 ending"
"not biddable",169.95,"new","No cellular","None","Black","16/32/64 GB","iPad 1",0,10082,"contains description",0,0,"not a 99 ending"
"not biddable",319.85,"refurbished","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,10083,"contains description",0,0,"not a 99 ending"
"not biddable",329.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad Air 1/2",0,10084,"contains description",0,0,"99 ending"
"not biddable",249.95,"new","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10085,"contains description",0,0,"not a 99 ending"
"not biddable",130,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10086,"no description",93,6,"not a 99 ending"
"not biddable",550,"new","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,10087,"contains description",0,0,"not a 99 ending"
"not biddable",169.98,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 2",0,10088,"no description",100,6,"not a 99 ending"
"not biddable",149.99,"refurbished","No cellular","None","Black","16/32/64 GB","iPad 2",1,10089,"no description",54,3,"99 ending"
"biddable",305,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10090,"contains description",0,0,"not a 99 ending"
"biddable",0.01,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10091,"contains description",0,0,"not a 99 ending"
"biddable",450,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10092,"contains description",0,0,"not a 99 ending"
"not biddable",194.29,"refurbished","No cellular","None","White","16/32/64 GB","iPad mini",0,10093,"no description",96,15,"not a 99 ending"
"not biddable",193.15,"used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10094,"contains description",0,0,"not a 99 ending"
"biddable",62,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10095,"contains description",0,0,"not a 99 ending"
"not biddable",489.99,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10096,"no description",86,5,"99 ending"
"biddable",99,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10097,"contains description",0,0,"99 ending"
"biddable",45,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10098,"no description",25,1,"not a 99 ending"
"not biddable",134.95,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10099,"no description",32,5,"not a 99 ending"
"not biddable",199.99,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10100,"contains description",0,0,"99 ending"
"not biddable",264.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",1,10101,"no description",99,4,"99 ending"
"not biddable",349,"refurbished","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10102,"contains description",0,0,"not a 99 ending"
"biddable",160,"used","No cellular","None","Black","16/32/64 GB","iPad mini 2",0,10103,"no description",37,1,"not a 99 ending"
"not biddable",295,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10104,"no description",95,4,"not a 99 ending"
"not biddable",199,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",1,10105,"contains description",0,0,"99 ending"
"not biddable",279.95,"new","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10106,"contains description",0,0,"not a 99 ending"
"not biddable",149.95,"new","Cellular","Unknown","Black","16/32/64 GB","iPad 1",0,10107,"contains description",0,0,"not a 99 ending"
"biddable",290,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10108,"contains description",0,0,"not a 99 ending"
"not biddable",339.99,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10109,"contains description",0,0,"99 ending"
"not biddable",99,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 1",0,10110,"no description",98,3,"99 ending"
"not biddable",320,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10111,"no description",98,2,"not a 99 ending"
"biddable",255,"refurbished","Cellular","Unknown","Black","16/32/64 GB","iPad mini",0,10112,"contains description",0,0,"not a 99 ending"
"biddable",114.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10113,"no description",98,6,"99 ending"
"biddable",250,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10114,"no description",100,11,"not a 99 ending"
