"UniqueID","sold","biddable","startprice","condition","cellular","carrier","color","storage","productline","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
10001,0,"not biddable",159.99,"used","No cellular","None","Black","Less than 128 GB","iPad 2","contains description",45,1,"99 ending"
10002,1,"biddable",0.99,"used","Cellular","Verizon","Unknown","Less than 128 GB","iPad 2","contains description",100,2,"99 ending"
10003,1,"not biddable",199.99,"used","No cellular","None","White","Less than 128 GB","iPad 4","no description",0,0,"99 ending"
10004,0,"not biddable",235,"new","No cellular","None","Unknown","Less than 128 GB","iPad mini 2","no description",0,0,"not a 99 ending"
10005,0,"not biddable",199.99,"refurbished","Unknown","Unknown","Unknown","Unknown","Unknown","contains description",100,2,"99 ending"
10006,1,"biddable",175,"used","Cellular","AT&T","Space Gray","Less than 128 GB","iPad mini 2","no description",0,0,"not a 99 ending"
10007,1,"biddable",100,"new","No cellular","None","Space Gray","Less than 128 GB","iPad mini","no description",0,0,"not a 99 ending"
10008,0,"not biddable",329.99,"new","No cellular","None","White","Less than 128 GB","iPad mini3","no description",0,0,"99 ending"
10009,1,"biddable",0.99,"used","Cellular","Unknown","White","Less than 128 GB","iPad 1","no description",0,0,"99 ending"
10010,1,"biddable",150,"used","No cellular","None","White","Less than 128 GB","iPad 4","no description",0,0,"not a 99 ending"
10011,1,"not biddable",199.99,"used","No cellular","None","Black","Less than 128 GB","iPad 4","contains description",92,0,"99 ending"
10012,0,"not biddable",99.99,"refurbished","No cellular","None","White","Less than 128 GB","iPad 1","no description",0,0,"99 ending"
10013,1,"biddable",20,"used","Cellular","AT&T","Black","Less than 128 GB","iPad 1","contains description",96,41,"not a 99 ending"
10014,1,"not biddable",75,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10015,1,"not biddable",199.99,"refurbished","No cellular","None","White","Less than 128 GB","iPad 4","contains description",98,3,"99 ending"
10016,0,"not biddable",344.95,"new","No cellular","None","Space Gray","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10017,1,"not biddable",184.5,"used","No cellular","None","Black","Less than 128 GB","iPad 3","contains description",100,4,"not a 99 ending"
10018,0,"not biddable",209.98,"refurbished","No cellular","None","White","Less than 128 GB","iPad mini 2","contains description",100,6,"not a 99 ending"
10019,1,"not biddable",375,"used","No cellular","None","White","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10020,0,"not biddable",95,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10021,1,"not biddable",125,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","contains description",16,1,"not a 99 ending"
10022,0,"not biddable",187.5,"used","No cellular","None","Black","Less than 128 GB","iPad 3","contains description",84,3,"not a 99 ending"
10023,0,"not biddable",129.99,"used","Cellular","Verizon","Black","Less than 128 GB","iPad 2","contains description",27,23,"99 ending"
10024,0,"not biddable",329.99,"new","Unknown","Unknown","Space Gray","Unknown","Unknown","no description",0,0,"99 ending"
