"id","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","age"
"7129300520",221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,59
"6414100192",538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,63
"5631500400",180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,82
"2487200875",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,49
"1954400510",510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,28
"7237550310",1225000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,13
"1321400060",257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,19
"2008000270",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,52
"2414600126",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,55
"3793500160",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,12
"1736800520",662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,50
"9212900260",468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,72
"114101516",310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,87
"6054650070",4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,37
"1175000570",530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,115
"9297300055",650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,36
"1875500060",395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,20
"6865200140",485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98
"16000397",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,93
"7983200060",230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,46
"6300500875",385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,67
"2524049179",2e+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,46
"7137970340",285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,19
"8091400200",252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,29
"3814700200",329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,29
"1202000200",233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,73
"1794500383",937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,99
"3303700376",667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,105
"5101402488",438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,66
"1873100390",719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,10
"8562750320",580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,11
"2426039314",280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,9
"461000390",687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,85
"7589200193",535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,85
"7955080270",322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,33
"9547205180",696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,84
"9435300030",550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,81
"2768000400",640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,110
"7895500070",240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,46
"2078500320",605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,18
"5547700270",625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,14
"7766200013",775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,30
"7203220400",861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,0
"9270200160",685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,92
"1432701230",309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,55
"8035350320",488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,11
"8945200830",210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,49
"4178300310",785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,33
"9215400105",450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,62
"822039084",1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,62
"5245600105",228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,59
"7231300125",345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,49
"7518505990",6e+05,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,64
"3626039271",585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,34
"4217401195",920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,88
"9822700295",885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,19
"9478500640",292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,6
"2799800710",301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,12
"7922800400",951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,46
"8079040320",430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,24
"1516000055",650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,55
"9558200045",289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,60
"5072410070",505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,41
"9528102996",549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,0
"1189001180",425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,35
"3253500160",317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,89
"3394100030",975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,25
"3717000160",287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,9
"1274500060",204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,46
"1802000060",1325000,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,49
"1525059190",1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,41
"1049000060",325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,43
"8820901275",571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98
"5416510140",360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,9
"3444100400",349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,50
"3276920270",832500,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,28
"4036801170",380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,58
"2391600320",480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,74
"6300000287",410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,58
"1531000030",720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,13
"5104520400",390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,11
"7437100340",360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,22
"9418400240",355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,66
"1523059105",356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,51
"1133000671",315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,62
"4232902595",940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,89
"2599001200",305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,53
"3342103156",461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,8
"1332700270",215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,35
"3869900162",335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,8
"2791500270",243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,26
"5036300431",1099880,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,14
"4168000060",153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,53
"6021501535",430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,75
"6021501535",7e+05,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,75
"1483300570",905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,68
"3422049190",247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,48
"1099611230",199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,39
"722079104",314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,34
"7338200240",437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,22
"1952200240",850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,104
"5200100125",555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,85
"7214720075",699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,31
"2450000295",1088000,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,64
"6197800045",290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,60
"1328310370",375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,37
"546000875",460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,75
"3530510041",188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,29
"1853000400",680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,24
"3134100116",470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,72
"9545230140",597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,30
"3362400511",570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,110
"2525310310",272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,34
"6126500060",329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,43
"8961960160",480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,13
"3626039325",740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,114
"3362400431",518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,4
"4060000240",205425,2,1,880,6780,1,0,0,4,6,880,0,1945,0,69
"3454800060",171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,65
