earn,height,gender,race,ed,age
159142,73.89,male,white,16,49
192794,66.23,female,white,16,62
97422,63.77,female,white,16,33
160956,63.22,female,asian,16,95
164178,63.08,female,white,17,43
30626,64.53,female,white,15,30
94208,61.54,female,white,12,53
101920,73.29,male,white,17,50
6426,72.24,male,hispanic,15,25
85994,72.4,male,white,12,30
20658,70.22,male,white,16,69
2004,63.15,female,white,14,54
95196,68.11,male,white,11,38
38040,68.08,male,white,12,31
40128,64.86,female,white,12,55
1986,60.06,female,white,12,31
71944,66.01,female,white,16,39
53862,68.07,male,white,12,62
129204,68.16,female,white,14,33
139988,70.02,male,white,13,48
2000,67.08,female,white,9,25
24264,64.2,female,african-american,12,59
168446,72.76,male,african-american,13,39
17898,62.17,female,white,13,55
46556,63.04,female,white,14,25
17500,66.67,male,white,14,26
129188,65.95,female,white,12,45
108160,71.69,male,white,12,49
33792,62.76,female,african-american,12,39
-192,68.46,male,white,11,25
87878,64.07,female,white,16,64
2008,60,female,white,12,48
158956,71.97,male,white,16,42
1970,68.25,female,white,12,59
130476,76.68,male,white,16,37
1958,63.77,female,white,10,23
49690,63.96,female,white,14,29
81508,63.72,female,white,12,37
238502,71.92,male,white,17,43
85866,68.12,male,white,17,35
40176,64.48,female,white,12,30
25848,60.94,female,white,14,82
97386,67.19,female,african-american,14,35
68766,65.05,female,white,12,61
87856,64.17,female,white,14,30
11564,66.49,female,white,15,69
81518,65.58,female,white,12,34
78326,64.93,female,white,12,45
103794,67.02,female,white,18,33
33810,67.49,female,white,17,34
2002,70.03,female,white,12,61
36996,60.61,female,hispanic,12,25
61480,64.92,female,white,13,36
65606,62,female,white,12,33
11058,72.16,male,white,10,22
41190,66.35,male,african-american,8,60
79634,70.09,male,white,12,69
66656,70.05,male,white,17,45
110136,68.49,female,white,17,53
21090,60.13,female,white,12,69
53958,71.15,male,white,12,32
111268,70.77,male,white,12,36
12760,72.87,male,white,13,22
46528,68,female,white,14,59
33836,65.64,female,white,12,61
79352,68.74,male,white,16,33
1988,63.02,female,white,8,67
52842,62.8,female,white,14,31
1972,65.99,female,african-american,13,34
1974,64.66,female,white,12,30
51102,62.04,male,hispanic,14,32
54470,64.24,female,white,14,47
14708,63.82,female,white,9,72
14202,66.95,female,white,9,56
70084,71.28,male,white,12,43
2638,59.63,female,white,16,57
84686,66.34,female,white,16,31
9970,66,female,white,15,25
56046,65.49,female,white,14,43
27460,69.96,female,white,13,26
1984,64.79,female,white,13,67
40150,66.35,female,white,13,72
33804,62.09,female,white,12,51
33798,65.83,female,white,15,71
1998,63.78,female,white,14,42
47664,71.81,male,white,12,43
9626,67.12,female,hispanic,8,43
95484,68.19,male,hispanic,12,36
95312,69.76,male,white,12,37
33786,61.91,female,white,12,42
17868,63.29,female,white,13,30
40200,65.48,female,white,13,67
65606,69.75,female,white,10,65
65624,68.09,female,white,12,40
63532,70.21,male,white,14,27
2002,65.99,female,white,12,63
5814,66.23,female,white,12,24
4232,67.79,female,white,16,36
63770,69.94,male,white,16,31
33810,60.75,female,hispanic,12,26
97372,62.9,female,white,12,77
129212,63.47,female,white,14,60
79502,67.14,male,white,12,93
33764,60.66,female,white,17,83
192766,69.55,female,white,18,67
1972,63.46,female,white,12,25
59238,67.83,female,white,12,70
53000,64.39,female,white,12,37
49710,67.01,female,african-american,14,34
31772,68.79,male,white,17,27
106928,67.05,female,white,13,47
59256,67.83,female,white,12,34
49686,63.03,female,white,12,41
66876,70.97,male,white,12,26
68748,63.91,female,african-american,17,47
117668,68.22,male,white,11,41
122858,68.43,female,white,17,48
56030,65.53,female,hispanic,14,47
1964,66.13,female,white,12,33
1992,66.31,female,asian,16,36
101850,77.12,male,white,16,34
89460,67.17,female,white,12,62
54446,62.11,female,white,12,48
2016,64.5,female,white,17,34
1994,71.96,female,white,12,55
81500,67.42,female,white,18,39
87858,61.17,female,white,18,47
17900,63.6,female,white,12,32
224620,61.91,female,white,16,42
17880,62.83,female,white,12,44
15866,67.83,male,white,16,28
65602,63.71,female,white,15,30
12718,71.36,male,white,15,25
192766,64,female,white,16,39
17936,60.96,female,white,13,35
95384,74.21,male,white,12,42
222566,70.25,male,white,14,39
158964,71.08,male,white,16,45
141920,62.85,female,white,12,43
97444,63.61,female,white,14,47
1996,62.03,female,white,16,36
33824,62.08,female,white,16,44
75146,70.15,female,white,17,46
2010,62.1,female,white,12,43
143096,70.76,male,white,17,66
47758,71.04,male,white,14,35
14690,69.86,female,white,14,75
53756,67.02,male,white,14,35
97418,64.16,female,white,12,36
89422,67.09,female,white,12,34
20090,62.1,female,white,8,73
59222,61.76,female,hispanic,13,60
136514,67.95,male,african-american,13,48
103778,62.5,female,african-american,14,48
1990,66.19,female,african-american,5,55
33774,68.16,female,african-american,18,60
190900,74.23,male,white,13,49
68768,68.07,female,asian,12,54
9616,61.74,female,white,16,26
5176,65.9,female,white,15,32
85846,68.18,male,white,12,31
22972,60.18,female,hispanic,14,32
50894,67.55,male,white,8,47
286192,72.09,male,white,12,30
27442,66.27,female,white,12,46
63658,67.86,male,white,10,36
49716,67.47,female,white,12,22
40158,69.1,female,white,12,64
78330,64.15,female,white,16,50
65590,65.02,female,white,14,43
62414,61.19,female,white,12,50
31940,71.89,male,white,12,53
129220,66.19,female,white,16,38
1984,61.91,female,white,10,61
1990,59.91,female,hispanic,10,52
79568,67.85,male,white,14,68
79370,70.08,male,white,12,28
79450,71.13,male,white,14,36
60404,71.51,male,white,16,65
140104,68.28,male,white,16,52
2016,65.81,female,white,12,23
2026,63.07,female,white,18,59
49708,60.32,female,white,14,53
56072,63.06,female,white,12,40
76396,67.61,male,white,12,60
75172,63.65,female,white,12,41
41256,70.44,male,white,12,78
206752,67.81,male,white,16,50
24258,60.95,female,white,12,67
127272,67.78,male,white,18,67
49688,66.4,female,white,17,47
63592,69.7,male,white,16,29
63704,70.62,male,white,12,54
65610,64.76,female,white,12,46
81494,66.06,female,white,12,53
155780,69.9,male,white,13,41
2020,63.84,female,white,12,40
2020,63,female,white,16,39
81502,61.39,female,white,12,69
36962,66.26,female,white,14,61
52846,60.8,female,white,15,42
111144,72,male,white,14,47
397670,74.22,male,white,18,49
75134,66.83,female,white,12,51
56044,66.01,female,white,16,32
2032,62.09,female,white,13,35
87868,62.21,female,white,12,45
222604,72.23,male,white,14,36
113278,65.17,female,white,15,51
33798,60.07,female,white,12,66
113294,61.91,female,white,15,43
49716,66.01,female,white,12,42
40130,64.06,female,white,12,43
25282,71.01,male,white,12,72
27484,65.32,female,white,12,54
111150,73.15,male,white,18,54
143002,68.92,male,white,11,55
1994,64.04,female,white,12,62
49692,64.09,female,white,14,26
49662,61.37,female,white,12,81
78288,67.06,female,white,18,55
81542,61.68,female,white,13,36
81530,62.82,female,african-american,14,58
63456,66.64,male,asian,10,32
78308,67.86,female,white,12,28
139804,72.3,male,white,16,50
219418,69.94,male,white,12,42
197070,69.96,male,white,18,48
101840,67.17,male,african-american,14,36
65620,62.83,female,african-american,12,37
103786,65.68,female,asian,18,39
81512,65.9,female,white,17,54
540552,71.07,male,white,18,49
2002,66.07,female,african-american,11,33
111458,66.9,male,white,16,37
127032,76.48,male,african-american,16,42
104878,68.71,male,white,14,34
59232,65.41,female,white,12,26
97392,61.92,female,white,13,47
84684,61.97,female,white,12,35
17924,61.72,female,white,12,25
65602,62.29,female,white,16,77
56024,60.95,female,white,12,34
103758,65.16,female,white,14,32
47736,72,male,white,14,26
1962,65.92,female,white,17,45
159020,72.13,male,white,14,59
27444,63.85,female,white,12,43
127386,71.29,male,white,14,55
127220,72.43,male,white,15,45
104172,65.85,male,white,12,38
65606,65,female,white,14,73
116462,64.9,female,african-american,15,43
21086,61.48,female,white,12,68
40192,65.97,female,african-american,14,38
190862,66.78,male,white,14,67
129226,64.3,female,white,13,48
138766,63.28,female,white,12,42
145098,67.36,female,white,16,38
21046,67.83,female,white,18,43
27436,64.51,female,asian,10,86
65594,63.87,female,african-american,13,43
54130,66.1,male,african-american,12,27
8364,65.48,female,white,12,36
206728,64.43,male,white,12,32
158940,72.13,male,white,12,45
1998,67.92,female,white,11,58
1998,62.69,female,white,11,33
36956,67.83,female,white,12,42
111256,74.41,male,white,18,34
85678,63.1,male,white,12,37
13130,63.75,female,white,12,65
133674,68.19,male,white,12,41
65602,66.94,female,white,18,33
49694,66.65,female,white,12,33
31720,72.86,male,white,12,25
2008,62.21,female,white,12,52
18980,69.22,male,white,8,82
56064,64.95,female,hispanic,16,27
111178,68.9,male,hispanic,16,69
89032,77.02,male,white,14,32
49698,68.07,female,white,12,37
65640,62.2,female,white,17,28
65614,64.07,female,white,12,33
33344,66.55,male,hispanic,12,46
41100,70.19,male,white,16,26
33788,62.2,female,white,12,56
11538,62.71,female,white,12,41
78316,61.99,female,white,14,33
1998,62.81,female,white,17,45
56050,68.84,female,white,13,39
36988,64.28,female,white,12,52
2058,64.52,female,white,14,41
103768,68.63,female,white,14,44
56070,59.06,female,white,15,30
11530,66.36,female,asian,12,39
2000,64.97,female,white,12,45
8662,62,female,african-american,12,25
10086,75.18,male,african-american,11,38
56088,62.99,female,white,17,30
97394,65.03,female,white,13,32
47588,70.02,male,white,12,36
78340,68.32,female,white,16,46
33780,65.01,female,white,14,71
158940,69.22,male,white,8,57
159042,71.7,male,white,16,57
65622,63.65,female,white,17,53
97386,62.84,female,hispanic,18,58
2002,63.41,female,white,12,67
2040,65.4,female,white,10,52
1972,63.07,female,white,5,62
71972,73.2,female,white,14,49
85806,74.77,male,white,12,28
14728,65.14,female,white,12,42
57658,66.55,female,white,17,30
54440,65.93,female,white,14,32
91048,63.91,female,white,16,43
167366,66.1,female,white,18,54
49708,63.68,female,white,16,33
62420,62.71,female,white,13,36
1998,62.75,female,white,13,48
85668,72.72,male,white,12,27
47586,72,male,white,8,62
2010,66.06,female,white,12,28
47748,71.94,male,white,14,37
48072,63.9,female,white,12,59
78300,64.24,female,white,13,34
57164,68.16,male,white,15,40
14702,61.96,female,white,12,72
14700,68.48,female,white,13,61
4196,59.46,female,white,12,40
78340,64.79,female,white,12,95
85852,76.09,male,white,12,43
40182,71.41,female,white,12,39
71970,62.08,female,white,18,51
97396,62.21,female,white,13,40
111234,71.55,male,white,12,65
63674,73.79,male,white,12,46
103796,65.16,female,white,16,36
21130,62.79,female,asian,12,35
40168,66.52,female,white,12,43
1978,65.05,female,white,16,48
33788,62.93,female,white,12,35
5166,65.01,female,white,12,22
40116,63.83,female,white,15,75
52870,65.19,female,white,12,40
1982,67.9,female,white,16,45
81462,62.87,female,white,16,37
81504,69.96,female,white,12,31
101866,68.62,male,white,12,34
111244,66.75,male,white,14,47
21078,65.05,female,white,12,32
254422,69.39,male,white,14,48
65600,67.7,female,white,14,29
5196,66.37,female,white,17,42
89006,71.38,male,hispanic,13,42
82582,63.87,male,hispanic,16,27
